description,start_time,location,group_url,page_id,id
"AECOM is looking for the future talents in the construction industry. A group of candidates from all engineering and architecture majors will be selected and invited to a 2-day event. On Thursday October 27th we will host a night gala, where you will have the opportunity to network with AECOM’s professionals. The following day you will be interviewed by managers of all the business lines and HR staff. More details about time and venue will be communicated to the selected candidates.",2016-10-27T19:00:00-0400,TBD,https://www.facebook.com/ColumbiaEGSC/events,1446231682259516,591797251013468
"Cathy O'Neil discusses her book, Weapons of Math Destruction, and the power of algorithms to destroy lives, increase inequality and threaten democracy.",2016-11-30T18:00:00-0500,Columbia University's Data Science Institute,https://www.facebook.com/IDSE.Columbia/events,432008956893415,1660873174243476
Cathy O'Neill discusses her book Weapons of Math Destruction and the potential for algorithms to discriminate and threaten democracy.,2016-11-30T18:00:00-0500,Columbia University's Data Science Institute,https://www.facebook.com/IDSE.Columbia/events,432008956893415,597399740469100
Booz Allen Hamilton data scientists Ben Arancibia and Liebermann share stories from the trenches.,2016-11-14T17:00:00-0500,Columbia University's Data Science Institute,https://www.facebook.com/IDSE.Columbia/events,432008956893415,970076256458443
Data scientists at Goldman Sachs discus the role of data analytics and modeling in banking compliance.,2016-10-26T17:30:00-0400,Columbia University's Data Science Institute,https://www.facebook.com/IDSE.Columbia/events,432008956893415,910799572389835
An introduction to neural networks in the context of medically-relevant data analytics challenges.,2016-10-30T18:00:00-0400,,https://www.facebook.com/ColumbiaMIS/events,655078074554911,141805009617578
"---Update---
Conor Russomanno will demo one of OpenBCI's EEG headsets!

In collaboration with the Columbia Neuroscience Society, we are hosting a panel featuring researchers and industry leaders in the fields of neural computation and connectomics, as well as in brain-computer interface (BCI) systems development. Panelists include:

1. Conor Russomanno, MFA, SEAS '11 
Co-Founder & CEO | OpenBCI
Part-Time Faculty | NYU Interactive Telecommunications Program
Part-Time Faculty | Parsons MFA Design & Technology
https://www.youtube.com/watch?v=Xe_cWeiY5G8
OpenBCI Mission: ""OpenBCI stands for open-source brain-computer interface (BCI). We provide anyone with a computer, the tools necessary to sample the electrical activity of their body. Our versatile and affordable bio-sensing systems can be used to sample electrical brain activity (EEG), muscle activity (EMG), heart rate (EKG), and much more. Our 3D-printable EEG headsets can be used to get research-grade EEG recordings."" http://openbci.com/

2. Dmitri Chklovskii, PhD, Research Associate Professor at the NYU Neuroscience Institute and the Simons Foundation
Research Summary: ""The human brain makes sense of the world and comes up with new ideas with an efficiency, speed and accuracy unattainable by modern computers. Our goal is to understand how the brain analyzes large and complex datasets streamed by sensory organs in order to aid efforts at treating mental illness and building artificial neural systems. We analyze experimental data, assembling connectomes from high-throughput electron microscopy and determining neuronal dynamics from calcium imaging and multi-electrode recordings. Empowered by experimental observations, we are developing a novel algorithmic theory of neural computation.""

3. Daniel Gardner, PhD, Professor of Physiology and Biophysics, Weill Cornell Medical College
Research Summary: ""The Lab's very newest project addresses a major barrier to progress in neuroscience. Contemporary neuroscientists record increasingly larger numbers of signals from nervous systems and correlate them with many behaviors and with disease states. However, this new capacity to acquire signals simultaneously from a hundred or more neurons or networks far outstrips our ability to analyze and to ask questions about these data, severely limiting progress. To address this imbalance, we have just begun to apply new massively-parallel computer technology to proven analytic methods. Such innovative enhanced analyses will enable neuroscience laboratories to derive greater insight from their data, and so advance our understanding of the relation of neural signals and brain function to sensation, perception, decision, and action. Our major impact, aim, and significance are encapsulated in the acronym NEAT: the Neurophysiology Extended Analysis Tool.""

Refreshments will be provided!",2016-10-24T20:00:00-0400,703 Hamilton,https://www.facebook.com/ColumbiaMIS/events,655078074554911,1785766911680568
"Join us in the GS Lounge for food, prizes, and hourly competitions!

Don’t forget to sign up for the GS Giving Day Thunderclap campaign for a chance to win a free ticket to the GS Gala in the spring and to spread the word about Giving Day: http://bit.ly/cgd16clp",2016-10-26T15:00:00-0400,Columbia University School of General Studies,https://www.facebook.com/ColumbiaGS/events,29438666163,1164125783624470
"Learn about the semester, academic year and summer program options at KCJS.  Meet members of the KCJS on site staff.
 
For more information:
http://columbia.studioabroad.com/?go=KyotoConsortium
http://columbia.studioabroad.com/?go=kcjssummer
http://www.kcjs.jp/index.html
 
Questions?
Interested but can’t attend? Email or schedule an appointment to meet with Robin Leephaibul or Jillian Burdziak from the Office of Global Programs.",2016-10-27T15:00:00-0400,,https://www.facebook.com/ColumbiaOGP/events,458637640940036,212340105853627
"While sitting down to color-code your planner for the spring semester, why not block some time to gain experience outside the classroom? Swipe right if you are looking to gain brag-worthy skills in the arts, entertainment, or media industries via the Columbia Arts Experience (CAE), in civic engagement via the Kenneth Cole Community Action Program @ Columbia University, or in the fast-paced world of startups via the Startup Internship Program (SIP). Don't feel like braving the MTA in February? You can develop skills from the comfort of your apartment by working on global projects through our Virtual Internship Program (VIP).

Search and apply for positions in LionSHARE here: bit.ly/EESpring2017

You can register for the CCE Spring Internships Information Session on Thursday, October 20th from 5:30-6:30 pm in the CCE conference room here: http://bit.ly/2dLi8cl 

Check this event page for updates!",2016-10-30T17:00:00-0400,"The Center for Career Education, Columbia University",https://www.facebook.com/CUCCE/events,25500637705,220665905017415
